Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Москаль,Леон,Федорович,male,1956-05-04,Бізнесмен,хутір Ходорів,"провулок Ростовська, буд. 6 кв. 5, Фастів, 37063",380 37 44,sviatoslavhavrylenko@example.org
Філіпенко,Леопольд,Васильович,male,1966-10-19,Професор,селище Заліщики,"шосе Лінія 44-та, буд. 789, Василівка , 05746",+380 88 606-33-27,ivlokh@example.com
Кириленко,Йосип,Остапович,male,1939-09-15,Ґрунтознавець,хутір Сміла,"проспект Сурикова, буд. 637, Антрацит , 20073",047 398 28 61,bivanchenko@example.net
Наливайко,Леон,Андрійович,male,1990-08-20,Астроном,село Кодима,"сквер Гранатна, буд. 426, Хотин, 41639",787 52 24,yhavriushenko@example.com
Вовк,Леопольд,Григорович,male,1941-06-20,Архітектор,хутір Золотоноша,"набережна Степана Разіна, буд. 72 кв. 6, Старий Крим, 92407",+380 57 771-29-54,les40@example.net
Корпанюк,Лесь,Семенович,male,1958-10-24,Історик,селище Тараща,"набережна Леваневського, буд. 94, Болград, 02433",623-35-09,apalii@example.org
Вергун,Герман,Сергійович,male,1963-11-07,Державний службовець,селище Костянтинівка,"сквер Партизанська, буд. 63, Старобільськ, 25356",+380 11 395 45 68,parmenbandera@example.net
Єременко,Антон,Дмитрович,male,2003-01-30,М'ясник,хутір Шумськ,"набережна Тополиний, буд. 181, Синельникове, 18442",+380 30 308-93-05,alinaiaremko@example.com
Рубан,Гордій,Іванович,male,1939-04-23,Паралегал,село Берегове,"сквер Людмили Гінзбург, буд. 041, Ковель, 68157",+380 58 206-22-55,masliakvolodymyra@example.com
Бабко,Валерій,Сергійович,male,1955-12-11,Геолог,місто Сміла,"сквер Східчастий, буд. 45 кв. 68, Звенигородка, 42865",+380 60 371 91 33,pavlychenkotrokhym@example.org
Гаврилишина,Дмитро,Юрійович,male,1964-03-10,Режисер,місто Прилуки,"вулиця Лодочний, буд. 0, Часів Яр, 07475",030 916-87-43,gfareniuk@example.com
Артим,Левко,Семенович,male,1993-08-25,Дантист,хутір Суходільськ,"шосе Скляна, буд. 675, Овруч, 89943",+380 (15) 226-33-00,khudiakpriska@example.com
Уманець,Петро,Петрович,male,1970-07-02,Перекладач,місто Алушта,"узвіз Кузнечна, буд. 79, Прип'ять , 49180",+380 (09) 156-47-31,saienkostefan@example.org
Дерегус,Костянтин,Вікторович,male,1978-09-14,Композитор,місто Первомайськ,"набережна Чорноморський 10-й, буд. 0, Прилуки, 11434",846 83 58,avhustyn78@example.net
Даньків,Павло,Семенович,male,1940-01-21,Мінералог,село Белз,"набережна Бузковий 2-й, буд. 9 кв. 7, Фастів, 34101",072 108-00-21,tsavenko@example.net
Гайдай,Олекса,Васильович,male,1965-05-18,Конструктор,місто Старобільськ,"шосе Наявний 2-й, буд. 3, Боково-Хрустальне, 43358",141 99 52,rdavymuka@example.com
Демʼянчук,Панас,Юрійович,male,1961-05-18,Кушнір,місто Новоселиця,"проспект Виноградна 1-ша, буд. 4, Зоринськ, 20635",+380 (68) 499-19-38,makar62@example.org
Вакуленко,Лесь,Вікторович,male,1939-03-03,Медик,місто Краматорськ,"вулиця Строганова, буд. 5, Теплодар, 47545",035 931-63-13,semenshukhevych@example.com
Данько,Леонід,Вікторович,male,1958-06-08,Клавішник,місто Середина-Буда,"набережна Пересипська 9-та, буд. 02, Радехів, 15027",062 476-76-62,veniiamynhaidabura@example.com
Даньків,Василь,Іванович,male,1973-11-29,Кур'єр,селище Суми,"парк Венгера, буд. 612, Тернопіль, 99639",085 199-24-72,nadiiamazur@example.org
Годунок,Гліб,Опанасович,male,1942-08-14,Етнограф,село Хмільник,"площа Промисловий, буд. 92, Генічеськ, 19718",+380 40 291-65-21,mishchenkoiosyp@example.com
Гаврилів,Омелян,Андрійович,male,1974-01-22,Геофізик,хутір Угнів,"набережна 11-та ст. Великого Фонтану пляж, буд. 58, Тальне, 80234",993 40 90,verkholavalentyn@example.net
Килимник,Захар,Дмитрович,male,1962-05-07,Державний службовець,село Решетилівка,"провулок Гаванна, буд. 316, Боярка, 96120",011 337-71-49,bairakpanas@example.com
Кащенко,Аарон,Григорович,male,1965-04-18,Гицель,село Макіївка,"набережна Нова, буд. 314, Сквира, 35256",+380 58 829 43 01,rudykvarfolomii@example.com
Килимник,Юхим,Вікторович,male,1976-02-04,Програміст,селище Оріхів,"парк Західний 3-й, буд. 7 кв. 2, Роздільна, 17728",073 901-96-27,ieva95@example.com
Вертипорох,Давид,Вікторович,male,2001-01-14,Будник,селище Яворів,"узвіз Лютневий 1-й, буд. 77, Броди, 90027",838 59 80,vitalii66@example.com
Андрійович,Марко,Григорович,male,1944-02-06,Кухар,хутір Харків,"проспект Іподромний, буд. 778, Токмак, 07938",+380 28 304 19 49,vprykhodko@example.org
Гаврилишин,Левко,Семенович,male,1948-09-08,Електромонтер,село Сновськ,"провулок Тополина, буд. 8, Рахів, 84076",+380 67 464-16-50,spas99@example.org
Панчук,Едуард,Юрійович,male,1970-04-30,Бухгалтер,село Черкаси,"сквер Дюківський сад, буд. 97, Харків, 39471",+380 (41) 797-44-62,zatulaboryslav@example.net
Атаманюк,Єфрем,Іванович,male,1945-05-13,Історик,село Жовті Води,"площа Матеріальний 1-й, буд. 44, Ровеньки, 85919",+380 05 537-43-37,arkadii29@example.org
Онищенко,Павло,Петрович,male,1943-07-09,Дантист,селище Середина-Буда,"парк Цементний, буд. 3, Білозерське, 49596",238 28 12,tverdokhlibdemian@example.org
Алексюк,Варфоломій,Вікторович,male,1992-11-14,Кушнір,хутір Христинівка,"шосе Морський 2-й, буд. 2, Перечин, 40152",+380 32 371-05-67,panteleimonkarpenko@example.com
Даниленко,Святослав,Федорович,male,1955-11-15,Фізик,село Монастирище,"вулиця Прохоровський, буд. 251 кв. 0, Сіверськ, 18919",+380 (12) 981-94-13,iaroslavateslenko@example.com
Штокало,Юхим,Петрович,male,1991-06-17,Каскадер,село Тисмениця,"набережна Коцебу міст, буд. 64 кв. 366, Марганець , 28302",+380 48 278 51 84,ielysei57@example.net
Литвин,Демʼян,Федорович,male,1995-02-04,Євнух,хутір Берегове,"вулиця 5-та Суворовська, буд. 536 кв. 13, Новомосковськ, 38874",+380 84 689-49-03,hpylypenko@example.com
Тарасенко,Панас,Дамирович,male,1959-03-07,Хореограф,селище Сновськ,"проспект Степана Олійника узвіз, буд. 8 кв. 4, Жидачів, 42607",+380 74 400 56 46,martatokar@example.net
Лукаш,Феофан,Миколайович,male,1990-07-21,Швачка,село Бердичів,"проспект Молодогвардійська, буд. 1, Іршава, 92857",181-12-69,arkhypenkoviktor@example.net
Атаманюк,Макар,Вікторович,male,1984-03-31,Штукатур,місто Синельникове,"набережна Лазурний 5-й, буд. 003 кв. 8, Феодосія, 76903",099 841 59 22,chekaliukoryna@example.org
Кащенко,Симон,Федорович,male,1966-06-26,Доцент,селище Підгородне,"парк Патріотична, буд. 6, Нова Одеса, 96558",786 06 52,iereskovolodymyra@example.net
Швайка,Захар,Вікторович,male,1972-07-29,Астроном,селище Тернівка ,"набережна Палубна, буд. 0, Гайсин, 52854",001 293 40 05,sliusarhordii@example.com
Арсенич,Мирослав,Олександрович,male,1966-01-18,Дизайнер,селище Корець,"вулиця Мирна, буд. 6 кв. 1, Бершадь, 90658",+380 47 471 21 23,tymchukvadym@example.com
